date,temperature_c,consumption_kwh
2006-12-16,7.8,1209.176
2006-12-17,9.45,3390.46
2006-12-18,10.85,2203.826
2006-12-19,4.7,1666.194
2006-12-20,4.15,2225.748
2006-12-21,7.75,1716.624
2006-12-22,6.65,2341.338
2006-12-23,11.95,4773.386
2006-12-24,8.6,2550.012
2006-12-25,5.55,2743.12
2006-12-26,8.899999999999999,3934.11
2006-12-27,4.699999999999999,1528.76
2006-12-28,5.550000000000001,2072.638
2006-12-29,5.85,3174.392
2006-12-30,4.7,2789.302
2006-12-31,3.9,3494.196
2007-01-01,10.25,2749.004
2007-01-02,7.5,1269.236
2007-01-03,7.199999999999999,1014.054
2007-01-04,9.7,3259.412
2007-01-05,14.2,2713.364
2007-01-06,17.2,1508.378
2007-01-07,9.45,2447.62
2007-01-08,8.3,2241.36
2007-01-09,3.9000000000000004,1869.054
2007-01-10,0.2500000000000001,2154.8
2007-01-11,0.0,2255.194
2007-01-12,5.85,1461.296
2007-01-13,10.25,3186.814
2007-01-14,6.4,3007.816
2007-01-15,9.15,2148.678
2007-01-16,3.6000000000000005,1686.404
2007-01-17,-4.45,2847.688
2007-01-18,-0.55,1821.462
2007-01-19,2.2,1480.44
2007-01-20,-3.05,3133.732
2007-01-21,-4.45,3407.262
2007-01-22,-1.0999999999999999,2180.494
2007-01-23,0.0,1777.64
2007-01-24,2.2,2987.854
2007-01-25,-4.15,1596.344
2007-01-26,-9.2,1617.972
2007-01-27,-0.8500000000000001,2044.072
2007-01-28,1.95,3090.204
2007-01-29,-3.5999999999999996,1982.664
2007-01-30,-2.1999999999999997,1707.798
2007-01-31,-1.65,2363.752
2007-02-01,-1.0999999999999999,1824.76
2007-02-02,1.65,1667.736
2007-02-03,-1.65,4029.722
2007-02-04,-5.25,3595.94
2007-02-05,-10.55,1645.28
2007-02-06,-7.8,1273.48
2007-02-07,-7.5,2328.018
2007-02-08,-6.1,1801.414
2007-02-09,-3.9,1620.198
2007-02-10,-2.2,2829.328
2007-02-11,-3.3000000000000003,3571.228
2007-02-12,1.1,1877.61
2007-02-13,-2.8,1414.546
2007-02-14,-5.3,2498.672
2007-02-15,-6.9,1985.346
2007-02-16,-5.85,1702.528
2007-02-17,-2.75,2076.912
2007-02-18,-3.3499999999999996,3829.762
2007-02-19,-6.1,2186.614
2007-02-20,3.3000000000000003,3149.928
2007-02-21,6.65,2072.874
2007-02-22,4.7,3369.478
2007-02-23,-0.8499999999999999,1313.48
2007-02-24,-0.5500000000000003,714.922
2007-02-25,-0.8000000000000003,501.74
2007-02-26,0.55,568.484
2007-02-27,3.5999999999999996,518.112
2007-02-28,4.75,520.774
2007-03-01,4.2,517.564
2007-03-02,8.05,515.688
2007-03-03,9.7,819.122
2007-03-04,2.5,2090.7
2007-03-05,-0.5499999999999998,2660.332
2007-03-06,-8.899999999999999,1246.5
2007-03-07,-8.05,2375.206
2007-03-08,-3.3499999999999996,1572.132
2007-03-09,-4.45,1272.612
2007-03-10,6.95,2484.712
2007-03-11,6.65,3480.636
2007-03-12,8.05,1950.668
2007-03-13,10.0,1290.144
2007-03-14,14.450000000000001,1793.364
2007-03-15,10.799999999999999,1884.814
2007-03-16,-0.5499999999999998,1702.054
2007-03-17,-0.30000000000000004,2028.09
2007-03-18,0.55,2371.046
2007-03-19,2.5,2152.518
2007-03-20,5.3,2086.228
2007-03-21,0.5500000000000003,2142.092
2007-03-22,11.899999999999999,1454.978
2007-03-23,13.350000000000001,1309.008
2007-03-24,8.899999999999999,2968.43
2007-03-25,7.75,3336.124
2007-03-26,8.049999999999999,1416.082
2007-03-27,17.8,1105.14
2007-03-28,12.75,2333.898
2007-03-29,8.6,1590.406
2007-03-30,11.95,1402.394
2007-03-31,10.85,3509.51
2007-04-01,7.8,2785.952
2007-04-02,9.45,1960.778
2007-04-03,11.399999999999999,1642.82
2007-04-04,5.0,2051.868
2007-04-05,3.9000000000000004,1844.078
2007-04-06,2.5,1601.14
2007-04-07,2.75,1553.924
2007-04-08,1.95,1608.816
2007-04-09,4.7,1000.92
2007-04-10,5.6,777.364
2007-04-11,6.1,887.482
2007-04-12,5.3,537.706
2007-04-13,7.5,551.022
2007-04-14,8.850000000000001,554.268
2007-04-15,8.600000000000001,726.164
