CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1521,F,39.0,48.7,47.0
1737,M,43.0,94.8,22.0
1740,F,20.0,15.0,58.0
1660,F,30.0,29.0,38.0
1411,M,26.0,27.0,57.0
1678,F,42.0,59.1,34.0
1626,M,27.0,24.6,53.0
1513,M,28.0,26.3,55.0
1859,F,19.0,15.0,37.0
1136,F,29.0,43.4,52.0
1811,M,47.0,93.4,1.0
1076,F,36.0,54.0,41.0
1636,F,42.0,60.9,39.0
1973,F,22.0,25.1,66.0
1938,M,61.0,99.5,1.0
1899,M,51.0,109.2,23.0
1280,F,36.0,52.2,55.0
1883,M,30.0,32.4,52.0
1761,F,34.0,54.0,38.0
1319,M,34.0,52.0,41.0
1549,M,30.0,40.3,45.0
1174,F,37.0,38.4,59.0
1371,M,39.0,61.2,47.0
1527,M,35.0,49.5,42.0
1210,F,40.0,86.0,47.0
1235,M,40.0,65.1,51.0
1101,M,32.0,37.2,64.0
1986,M,65.0,101.2,5.0
1902,M,24.0,33.9,70.0
1947,M,26.0,29.6,43.0
1346,F,23.0,29.4,46.0
1139,F,25.0,16.6,52.0
1621,F,39.0,66.8,36.0
1499,F,24.0,23.6,46.0
1370,M,35.0,47.6,49.0
1198,F,35.0,50.0,48.0
1687,M,32.0,36.5,41.0
1584,M,36.0,48.2,59.0
1901,F,54.0,100.0,7.0
1059,F,43.0,70.5,38.0
1328,M,40.0,63.8,46.0
1096,M,37.0,53.7,52.0
1312,F,42.0,69.3,42.0
1974,F,37.0,63.3,42.0
1299,M,40.0,77.2,45.0
1277,F,30.0,27.5,60.0
1924,M,48.0,80.5,30.0
1601,M,28.0,44.8,56.0
1439,F,35.0,33.2,49.0
1837,F,51.0,93.9,22.0
1570,F,35.0,33.5,72.0
1879,M,50.0,97.5,4.0
1261,F,35.0,27.6,70.0
1578,F,23.0,18.2,72.0
1023,F,24.0,26.9,37.0
1030,M,30.0,31.6,50.0
1617,M,41.0,83.9,26.0
1010,M,31.0,21.2,52.0
1221,F,20.0,22.9,59.0
1820,M,23.0,15.7,73.0
1296,M,42.0,78.0,42.0
1054,M,43.0,82.3,42.0
1542,F,,45.3,60.0
1209,F,66.0,98.9,1.0
1604,M,38.0,37.9,50.0
1692,F,26.0,30.9,50.0
1662,F,35.0,47.7,30.0
1866,F,67.0,104.7,3.0
1070,M,38.0,64.4,47.0
1543,F,47.0,75.8,36.0
1107,M,36.0,58.5,40.0
1493,F,28.0,32.5,62.0
1590,F,36.0,48.1,47.0
1741,F,25.0,42.1,54.0
1292,F,30.0,47.8,43.0
1289,M,30.0,47.9,51.0
1652,M,33.0,41.0,59.0
1039,M,37.0,53.2,66.0
1589,M,28.0,32.5,41.0
1307,F,30.0,34.9,54.0
1679,F,45.0,62.7,42.0
1066,M,34.0,38.0,59.0
1275,M,39.0,63.0,39.0
1067,F,,79.1,41.0
1318,M,38.0,55.1,51.0
1548,F,38.0,46.1,32.0
1998,F,28.0,45.7,59.0
1714,M,35.0,49.0,49.0
1753,M,36.0,57.2,47.0
1327,M,41.0,63.6,35.0
1382,M,18.0,20.0,92.0
1451,F,43.0,64.9,35.0
1522,F,30.0,30.9,44.0
1218,F,31.0,53.4,52.0
1787,F,52.0,90.2,23.0
1436,F,48.0,82.6,40.0
1764,M,49.0,77.0,31.0
1088,M,31.0,36.6,60.0
1063,M,25.0,19.6,77.0
1826,F,51.0,79.0,30.0
